kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid
61754471,Centrum voor Integrale Therapie & Begeleiding CITB B.V.,Amsterdam,2019,Ipa-Acon Assurance B.V.,overig_ipa_acon_assurance,,wnt_verantwoording,goedkeurend,,
54049431,Coöperatie Regionale Ambulance Voorziening Kennemerland U.A. (Cooperatieve vereniging),Haarlem,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
27307515,ActiVite (Stichting),Leiderdorp,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
39068356,Triade-Vitree (Stichting),Lelystad,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
41222646,Stichting Epilepsie Instellingen Nederland (SEIN),Hoofddorp,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41226861,Sint Jacob (Stichting),Haarlem,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41141829,Onder Een Dak (Stichting),Maassluis,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41245075,Karakter (Stichting),Ede Gld,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
01123419,Bestuursstichting Lentis,Zuidlaren,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41105788,Zorggroep West- en Midden-Brabant (Stichting),Breda,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
41133849,"De Kijvelanden, instelling voor forensische Psychiatrie (Stichting)",Rhoon,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41222776,"SIG, organisatie voor ondersteuning van mensen met een beperking (Stichting)",Beverwijk,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
30271006,QuaRijn (Stichting),Wijk bij Duurstede,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
09140691,Pro Persona Holding (Stichting),Renkum,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
30137445,Bergman Clinics B.V.,Naarden,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,ja
41102327,Sint Elisabeth (Stichting),Roosendaal,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
67639054,Veilig Thuis Brabant Noordoost (Stichting),'s-Hertogenbosch,2019,Q-Concepts Accountancy B.V.,13000773,13000773,wettelijke_controle,goedkeurend,,
56708874,Laverhof (Stichting),Heeswijk-Dinther,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
34366966,GGD Amsterdam,Amsterdam,2019,ACAM Accountancy en Advies,overig_acam_amsterdam,,vrijwillige_controle,beperking,,
54038111,Ambulancedienst Zuid Holland / Dienst gezondheid & jeugd zuid-holland zuid (Publiekrechtelijke rechtspersoon),Zwijndrecht,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,beperking,inhoudelijk,
17278973,Regionale Ambulance Voorziening Brabant Midden-West-Noord (Publiekrechtelijke rechtspersoon),Tilburg,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41032027,Ambulance Oost (Stichting),Hengelo (ov),2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
41118833,Verpleeghuis Het Parkhuis (Stichting),Dordrecht,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
24325621,Zorgpartners Midden-Holland (Stichting),Gouda,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
05062128,Isala Klinieken (Stichting),Zwolle,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
06089356,"Mediant, Stichting voor Geestelijke Gezondheidszorg Oost- en Midden Twente",Enschede,2019,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
08154763,Zorggroep Apeldoorn en omstreken (Stichting),Apeldoorn,2019,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41027001,Carint-Reggeland Groep (Stichting),Hengelo Ov,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
37121910,Landzijde (Stichting),Purmerend,2019,Auren Audit & Assurance Amsterdam B.V.,13020031,13020031,wettelijke_controle,goedkeurend,,
11043745,Zorgcentra De Betuwe (Stichting),Culemborg,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
50741632,Zorggroep Alblasserwaard en Vijfheerenlanden (Stichting),Ameide,2019,Grant Thornton Audit en Assurance B.V.,13000524,13000524,wettelijke_controle,goedkeurend,,
41155836,Joods Bejaardencentrum Den Haag (Stichting),Den Haag,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
62414259,Transmurale Specialistische Zorg Dokkum (Stichting),Utrecht,2019,Forvis Mazars Accountants N.V.,13000408,13000408,controle_onbepaald,goedkeurend,,
41193067,Dialysecentrum Tergooi B.V.,Hilversum,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
17141651,Máxima Medisch Centrum (Stichting),Veldhoven,2019,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
41088255,Stichting Vitalis WoonZorg Groep,Eindhoven,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
18086773,Schakelring/Eikendonk (Stichting),Waalwijk,2019,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
39084589,Zorggroep Oude en Nieuwe Land (Stichting),Steenwijk,2019,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
28111649,Libertas Leiden (Stichting),Leiden,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
14126254,BCO Onderwijsadvies BV,Venlo,2019,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
41062327,La Providence (Stichting),Grubbenvorst,2019,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
41022558,Rosengaerde (Stichting),Dalfsen,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41035166,Protestants-Christelijke Stichting Philadelphia Zorg,Amersfoort,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
58066330,Het Huis van de Straat (V.O.F.),Denekamp,2019,Forvis Mazars Accountants N.V.,13000408,13000408,productieverantwoording,goedkeurend,,
41046392,Bethanië (Stichting),Ede Gld,2019,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,
41050547,Stichting Christelijke Zorgorganisatie Norschoten,Barneveld,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41055664,Nijmeegs Interconfessioneel ziekenhuis Canisius-Wilhelmina (Stichting),Nijmegen,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
08222170,Handel Transport Zorg B.V.,Almelo,2019,Eshuis Registeraccountants B.V.,13000144,13000144,wnt_verantwoording,goedkeurend,,
41169384,Stichting Jeugdbescherming west Zuid-Holland,'s-Gravenhage,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,ja
55954294,"Stichting GCA, Gynaecologisch Centrum Alkmaar",Alkmaar,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
27272512,Wassenaarse Zorgverlening (Stichting),Wassenaar,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41178753,Siloah,Ridderkerk,2019,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
09155916,Extramurale Mondzorg (Stichting),Nijmegen,2019,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wnt_verantwoording,goedkeurend,,
27298839,Kliniek Naaldwijk (Stichting),Naaldwijk,2019,Zirkzee Audit B.V.,overig_zirkzee_audit,,wnt_verantwoording,goedkeurend,,
32113815,PrivaZorg WMO Beheer B.V.,Amersfoort,2019,WEA Audit B.V.,13000736,13000736,wettelijke_controle,goedkeurend,,
69617430,Psychologen Praktijk Putten K&J B.V.,Putten,2019,De Jong & Laan Controle B.V.,13000420,13000420,wnt_verantwoording,goedkeurend,,
72493674,"Coöperatie Samenwerkingsverband Basishulp Jeugd Heerlen, Landgraaf, Voerendaal U.A.",Heerlen,2019,Q-Concepts Accountancy B.V.,13000773,13000773,wettelijke_controle,goedkeurend,,
64770478,Veilig Thuis Midden-Brabant (Stichting),Tilburg,2019,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
12049254,AmbulanceZorg Limburg-Noord,Venlo,2019,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
