kvk,naam,plaats,boekjaar,kantoor,kantoor_sleutel,afm_nummer,type_opdracht,oordeel,grond_beperking,continuiteitsonzekerheid
34358102,IQ Coaches B.V.,Vijlen,2022,Boon Registeraccountants B.V.,13000199,13000199,productieverantwoording,goedkeurend,,
05055648,Ambulance IJsselland B.V.,Zwolle,2022,Eshuis Registeraccountants B.V.,13000144,13000144,wettelijke_controle,goedkeurend,,
34162244,Stichting Amsterdamse Gezondheidscentra (S.A.G.),Amsterdam,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
08130883,Stichting Zorggroep Sint Maarten,Denekamp,2022,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,
32126132,Woonvoorziening Doorstart (Eenmanszaak),Warfstermolen,2022,Van der Meer Accountants B.V.,13000361,13000361,controle_onbepaald,goedkeurend,,
61068349,Het Talenten-Huis B.V.,Enkhuizen,2022,Auren Audit & Assurance Amsterdam B.V.,13020031,13020031,productieverantwoording,goedkeurend,,
68527551,HalteZ B.V.,Wilp,2022,CAS ZorgAccountants B.V.,overig_cas_zorgaccountants,,productieverantwoording,goedkeurend,,
84743069,Trauma en Transitie B.V.,Doorn,2022,Visser & Visser Audit en Assurance B.V.,13000491,13000491,wnt_verantwoording,goedkeurend,,
75873680,Huisartsenposten Oost-Brabant B.V.,'s-Hertogenbosch,2022,Witlox VCS audit B.V.,13000578,13000578,wettelijke_controle,goedkeurend,,
01120271,Ketenzorg Friesland B.V.,Heerenveen,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
01095356,Dokterswacht Friesland B.V.,Heerenveen,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
69147108,MedicijnEnZorg Flevoland B.V.,Dronten,2022,De Jong & Laan Controle B.V.,13000420,13000420,wnt_verantwoording,goedkeurend,,
51088614,Welkom Kraamzorg B.V.,Uden,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
55122582,Stichting Buurtmarkt Breedeweg,Groesbeek,2022,EY Accountants B.V.,13020186,13020186,wettelijke_controle,goedkeurend,,ja
84582626,Back 2 Be B.V.,Vaals,2022,Audit Service Plus B.V.,13000790,13000790,wnt_verantwoording,goedkeurend,,
01050829,Kijlstra Ambulancegroep Fryslân B.V.,Drachten,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41223735,Stichting Gezondheidscentra Haarlemmermeer,Hoofddorp,2022,Van Velzen Audit B.V.,13020127,13020127,wettelijke_controle,goedkeurend,,
17167281,Kliniek ViaSana B.V.,Mill,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
32104230,Health Angels B.V.,Utrecht,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
37094843,Stichting Centrale Huisartsenpost West-Friesland en Wieringermeer,Hoorn,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
08153432,Naviva Kraamzorg B.V.,Deventer,2022,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
73674982,Rosales Zorg B.V.,Zwolle,2022,VHM Audit B.V.,13000176,13000176,productieverantwoording,goedkeurend,,
32133314,Zorgapotheken Flevoland B.V.,Almere,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
56494564,Floralia Park B.V.,Hulten,2022,NBC Audit Services B.V.,13000197,13000197,productieverantwoording,goedkeurend,,
80102093,Embrace the Future B.V.,Heerhugowaard,2022,BDO Accountants & Belastingadviseurs B.V.,overig_bdo_accountants,,wnt_verantwoording,goedkeurend,,
39071815,Stichting Zorggroep Almere,Almere,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,ja
88751511,Addia-psychologenpraktijk,Amersfoort,2022,Eshuis Registeraccountants B.V.,13000144,13000144,productieverantwoording,goedkeurend,,
09143276,Stichting Vitalys,Arnhem,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
08163409,"Zorgboerderij ""Stal de Schultenhof"" B.V.",Tubbergen,2022,Eshuis Registeraccountants B.V.,13000144,13000144,wnt_verantwoording,goedkeurend,,
55000959,Kinderdagverblijf Buitenpret B.V.,Rijswijk (GLD),2022,Flynth Audit B.V.,13000519,13000519,productieverantwoording,goedkeurend,,
63702037,Familysupporters B.V.,Amsterdam,2022,Witlox VCS audit B.V.,13000578,13000578,wettelijke_controle,goedkeurend,,ja
41141363,Stichting Zorgverlening voor Ouderen Schiewaegh,Schiedam,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41141239,Protestants Christelijke Stichting Zorgverlening voor Ouderen Vaartland,Vlaardingen,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
39059711,Stichting Triade,Lelystad,2022,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
70556822,Yes We Can Clinics B.V.,Waalre,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
09120190,Regionaal Instituut voor Dyslexie B.V.,Arnhem,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
27268552,Stichting HagaZiekenhuis,'s-Gravenhage,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,ja
41149315,Stichting LangeLand Ziekenhuis,Zoetermeer,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,ja
67034888,Zorg en Welzijn Academy Knaap B.V.,Ter Apel,2022,Mulderij & Partners Audit en Assurance B.V.,13020027,13020027,productieverantwoording,beperking,,
56221509,Stichting Bazalt Groep,'s-Gravenhage,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
29029569,Kwekerij Corstiaan Oudijk B.V.,Moerkapelle,2022,Coöperatie ConFirm U.A.,13020039,13020039,controle_onbepaald,goedkeurend,,
41005173,Stichting Jeugdhulp Friesland,Leeuwarden,2022,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
34374870,Stichting Human Concern - Centrum voor eetstoornissen,Amsterdam,2022,Moore DRV Audit B.V.,13020116,13020116,wettelijke_controle,goedkeurend,,
76927970,Veni Etinam B.V.,Zuidlaren,2022,ECOVIS BonsenReuling Audit B.V.,13000746,13000746,productieverantwoording,goedkeurend,,
41099111,"Stichting ""De Wijngaerd""",Made,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
41197638,Stichting Ziekenhuis Amstelland,Amstelveen,2022,KPMG Accountants N.V.,13000121,13000121,wettelijke_controle,goedkeurend,,
60730447,BijdeHand Zorg B.V.,Deurne,2022,Rubicon Registeraccountants B.V.,13000098,13000098,productieverantwoording,goedkeurend,,
63300664,Stichting Leger des Heils Jeugdbescherming & Reclassering,Almere,2022,PricewaterhouseCoopers Accountants N.V.,13000291,13000291,wettelijke_controle,goedkeurend,,
41047145,Stichting Samen Zorgen,Heteren,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
86872540,MJC Coaching B.V.,Veldhoven,2022,Denote Assurance B.V.,13020082,13020082,productieverantwoording,goedkeurend,,
41190476,Stichting Onderwijs Voorrang Eemland,Amersfoort,2022,WITh Accountants B.V.,overig_with_accountants,,wnt_verantwoording,goedkeurend,,
52684717,Boba Groep B.V.,Dordrecht,2022,Accountants voor de Gezondheidszorg B.V.,13020048,13020048,wettelijke_controle,goedkeurend,,
27258035,annatommie - centra voor orthopedie - B.V.,Utrecht,2022,BDO Audit & Assurance B.V.,13000311,13000311,wettelijke_controle,goedkeurend,,
77077105,Martha Flora Zorg B.V.,Amsterdam,2022,Coöperatie ConFirm U.A.,13020039,13020039,wettelijke_controle,goedkeurend,,
34366966,Gemeente Amsterdam,Amsterdam,2022,ACAM Accountancy en Advies,overig_acam_amsterdam,,vrijwillige_controle,goedkeurend,,
41126114,Stichting Profila Zorggroep,Houten,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,ja
50118439,Harten Hoeve B.V.,Deil,2022,Kreston Van Herwijnen Accountants B.V.,13000490,13000490,wnt_verantwoording,goedkeurend,,
08154553,Stichting Protestants Christelijke Woonzorg Unie Veluwe,Epe,2022,Verstegen accountants en adviseurs B.V.,13000147,13000147,wettelijke_controle,goedkeurend,,
56577702,Cintazorg B.V.,Duiven,2022,Stolwijk Kelderman Accountants Fiscalisten,13000458,13000458,productieverantwoording,goedkeurend,,
24393895,Diabeter Nederland B.V.,Rotterdam,2022,Grant Thornton Audit en Assurance B.V.,13000524,13000524,wettelijke_controle,goedkeurend,,
54852056,de-Straal (Stichting),Deventer,2022,Brouwers Audit B.V.,13000344,13000344,productieverantwoording,goedkeurend,,
08142671,Stichting Buurtzorg Nederland,Almelo,2022,Deloitte Accountants B.V.,13000015,13000015,wettelijke_controle,goedkeurend,,
59184833,Rima Zorg B.V.,Doesburg,2022,Stolwijk Kelderman Accountants Fiscalisten,13000458,13000458,productieverantwoording,goedkeurend,,
