afm_nummer,kantoor,verslagperiode,boekjaar,kop,url
13000311,BDO Audit & Assurance B.V.,2024,2023,A. Lijst van Organisaties van Openbaar Belang,https://www.bdo.nl/getmedia/c5a45d1a-29e2-49e4-a728-dad48827292e/BDO-Transparantieverslag-2024.pdf
13000311,BDO Audit & Assurance B.V.,2023,2022,A. Lijst van Organisaties van Openbaar Belang,https://www.bdo.nl/getmedia/fe87f4ee-7f0f-4e77-b54a-26315723c2ac/BDO-Transparantieverslag-2023.pdf
13000015,Deloitte Accountants B.V.,2024/2025,2024,Public interest entities audited for statutory purposes,https://www.deloitte.com/content/dam/assets-zone2/nl/en/docs/services/audit-assurance/2025/deloitte-nl-transparency-report-fy25.pdf
13020186,EY Accountants B.V.,2024/2025,2024,List of PIE audit clients,https://www.ey.com/content/dam/ey-unified-site/ey-com/nl-nl/campaigns/jaarverslag/documents/2024-2025/ey-transparency-report-2025.pdf
13000121,KPMG Accountants N.V.,2024/2025,2024,List of public-interest entity clients,https://corporatereporting.kpmg.nl/external/asset/download/project/f97e730a-03ef-0000-8d7f-3aea5ca7829e/name/KPMG_Integrated_report_2024-2025.pdf
13000408,Forvis Mazars Accountants N.V.,2023/2024,2023,Appendix 1 Public Interest Entities,https://www.forvismazars.com/nl/en/content/download/1228616/file/Forvis-Mazars-in-the-Netherlands-Transparency-Report-2023-_-2024.pdf
13000291,PricewaterhouseCoopers Accountants N.V.,2024/2025,2024,List of public interest entities,https://www.pwc.nl/nl/onze-organisatie/jaarbericht2025/pdf/pwc-transparency-report-2024-2025-appendices.pdf
13000015,Deloitte Accountants B.V.,2019/2020,2019,PIEs audited,https://www.deloitte.com/content/dam/assets-zone2/nl/en/docs/services/audit-assurance/2024/deloitte-nl-transparantieverslag-2019-2020.pdf
13000015,Deloitte Accountants B.V.,2020/2021,2020,PIEs audited,https://www.deloitte.com/content/dam/assets-zone2/nl/en/docs/services/audit-assurance/2024/deloitte-nl-about-deloitte-transparency-report-2020-2021.pdf
13000015,Deloitte Accountants B.V.,2021/2022,2021,Public interest entities audited for statutory purposes,https://www.deloitte.com/content/dam/assets-zone2/nl/en/docs/services/audit-assurance/2024/Transparency_Report_2122_revised_version_07022023.pdf
13000015,Deloitte Accountants B.V.,2022/2023,2022,Public interest entities audited for statutory purposes,https://www.deloitte.com/content/dam/assets-zone2/nl/nl/docs/services/audit-assurance/2024/Transparency-Report-FY23-updated1-15-05-24.pdf
13000015,Deloitte Accountants B.V.,2023/2024,2023,Public interest entities audited for statutory purposes,https://www.deloitte.com/content/dam/assets-zone2/nl/nl/docs/services/audit-assurance/2024/deloitte-nl-transparency-report-2023-2024.pdf
13020186,EY Accountants B.V.,2022/2023,2022,List of PIE audit clients,https://www.ey.com/content/dam/ey-unified-site/ey-com/nl-nl/campaigns/jaarverslag/documents/2022-2023/ey-transparency-report-2023.pdf
13000121,KPMG Accountants N.V.,2023/2024,2023,List of public-interest entity clients,https://corporatereporting.kpmg.nl/external/asset/download/project/f97e730a-03ed-0000-6eb6-a2482757d6ff/name/KPMG_Integrated_report_2023_2024.pdf
13000291,PricewaterhouseCoopers Accountants N.V.,2021/2022,2021,Lijst van organisaties van openbaar belang,https://www.pwc.nl/nl/onze-organisatie/transparantieverslag/documents/pwc-transparantieverslag-2021-2022-bijlagen.pdf
13000311,BDO Audit & Assurance B.V.,2022,2021,Lijst van organisaties van openbaar belang,https://www.bdo.nl/getmedia/d17ae429-e372-408c-9005-e0954541f101/BDO-Transparantieverslag-2022-def.pdf.aspx
13000408,Forvis Mazars Accountants N.V.,2024/2025,2024,Appendix 1 Public Interest Entities,https://www.forvismazars.com/nl/en/content/download/1273597/file/Forvis-Mazars-in-the-Netherlands-Transparency-Report-2024-_-2025.pdf
13000291,PricewaterhouseCoopers Accountants N.V.,2022/2023,2022,List of public interest entities,https://www.pwc.nl/nl/onze-organisatie/jaarbericht2023/pdf/pwc-transparency-report-2022-2023-appendices.pdf
