alias,afm_nummer,toelichting
ernst young accountants llp,13020186,"naam vóór omzetting naar EY Accountants B.V. (juni 2024); staat nog op verklaringen t/m boekjaar 2023"
ernst young accountants,13020186,handelsnaam vóór rebranding naar EY
de jong laan accountants en advies,13000420,handelsnaam; AFM-vergunning staat op De Jong & Laan Controle B.V.
de jong laan accountants,13000420,handelsnaam
mazars accountants,13000408,naam vóór fusie tot Forvis Mazars (2024)
forvis mazars accountants,13000408,huidige handelsnaam
pricewaterhousecoopers accountants,13000291,statutaire naam voluit
bdo audit assurance,13000311,statutaire naam zonder ampersand
deloitte accountants,13000015,statutaire naam
kpmg accountants,13000121,statutaire naam
baker tilly netherlands,13000741,handelsnaam zonder haakjes
qconcepts,13000773,"handelsnaam zonder streepje; AFM kent Q-Concepts Accountancy B.V., het kantoor schrijft zichzelf Qconcepts"
q concepts,13000773,handelsnaam mét spatie in plaats van streepje
alfa accountants,13000259,"handelsnaam; AFM-vergunning staat op aaff Audit en Assurance B.V. te Nijkerk (website alfa.nl)"
moore drv,13020116,handelsnaam zonder Audit; verklaringen tekenen als Moore-DRV
